Time; Temperature; Luminosity 
75.206; 25.5; 746.6666
75.385; 25.5; 686.6666
75.564; 25.5; 733.3333
75.743; 25.5; 786.6666
75.922; 25.5; 819.9999
76.101; 25.5; 813.3333
76.28; 25.5; 819.9999
76.459; 25.5; 773.3333
76.638; 25.5; 766.6666
76.817; 25.5; 726.6666
76.996; 25.5; 680.0
77.17401; 25.5; 666.6666
77.353; 0.0; 733.3333
77.532; 25.5; 773.3333
77.711; 25.5; 786.6666
77.89; 25.5; 766.6666
78.069; 25.5; 760.0
78.252; 25.5; 740.0
78.43; 25.5; 733.3333
78.609; 25.5; 720.0
78.787; 25.5; 706.6666
78.966; 25.5; 700.0
79.144; 25.5; 693.3333
79.328; 25.5; 653.3333
79.507; 25.5; 533.3333
79.686; 25.5; 459.9999
79.865; 25.5; 459.9999
80.044; 25.5; 453.3333
80.223; 25.5; 459.9999
80.402; 25.5; 453.3333
80.58101; 25.5; 446.6667
80.76; 25.5; 453.3333
80.93901; 25.5; 453.3333
81.118; 25.5; 453.3333
81.297; 25.5; 440.0
81.475; 25.5; 446.6667
81.65401; 25.5; 446.6667
81.833; 25.5; 440.0
82.011; 25.5; 440.0
82.18901; 25.5; 446.6667
82.368; 25.5; 440.0
82.546; 25.5; 440.0
82.724; 25.5; 446.6667
82.903; 25.5; 440.0
83.08101; 25.5; 433.3333
83.26; 25.5; 433.3333
83.444; 25.5; 440.0
83.62201; 25.5; 433.3333
83.806; 25.5; 433.3333
83.985; 25.5; 433.3333
84.164; 25.5; 440.0
84.342; 25.5; 433.3333
84.52101; 25.5; 426.6666
84.7; 25.5; 433.3333
84.878; 25.5; 433.3333
85.057; 0.0; 426.6666
85.23601; 25.75; 433.3333
85.415; 25.75; 433.3333
85.59401; 25.75; 433.3333
85.773; 25.75; 426.6666
85.95201; 25.75; 433.3333
86.131; 25.5; 426.6666
86.31; 25.75; 433.3333
86.489; 25.75; 433.3333
86.668; 25.75; 433.3333
86.847; 25.75; 426.6666
87.026; 25.75; 433.3333
87.205; 25.75; 433.3333
87.381; 25.75; 426.6666
87.56; 25.75; 426.6666
87.739; 25.75; 433.3333
87.918; 25.75; 426.6666
88.097; 25.75; 426.6666
88.276; 25.75; 433.3333
88.455; 25.5; 433.3333
88.634; 25.75; 426.6666
88.81301; 25.5; 433.3333
88.99199; 25.75; 426.6666
89.171; 25.5; 426.6666
89.355; 25.75; 426.6666
89.534; 25.5; 433.3333
89.713; 25.75; 426.6666
89.892; 25.5; 420.0
90.07; 25.75; 426.6666
90.249; 25.75; 426.6666
90.428; 25.5; 420.0
90.607; 25.75; 426.6666
90.78601; 25.5; 426.6666
90.96499; 25.75; 420.0
91.153; 25.5; 420.0
91.33201; 25.75; 426.6666
91.511; 25.5; 426.6666
91.69101; 25.5; 420.0
91.871; 25.5; 420.0
92.05001; 25.5; 426.6666
92.23001; 25.5; 420.0
92.41; 25.5; 426.6666
92.589; 25.5; 426.6666
92.769; 25.5; 426.6666
92.948; 25.5; 420.0
93.126; 25.5; 426.6666
93.306; 25.5; 426.6666
93.486; 25.5; 420.0
93.665; 25.5; 426.6666
93.844; 0.0; 426.6666
94.024; 25.75; 426.6666
94.20401; 25.75; 420.0
94.383; 25.75; 426.6666
94.562; 25.75; 420.0
94.74299; 25.75; 420.0
94.922; 25.75; 420.0
95.101; 25.75; 426.6666
95.28501; 0.0; 426.6666
95.465; 25.75; 420.0
95.644; 25.75; 426.6666
95.823; 0.0; 420.0
96.002; 25.75; 420.0
96.182; 25.75; 420.0
96.361; 25.75; 426.6666
96.541; 0.0; 420.0
96.71901; 25.75; 426.6666
96.898; 25.75; 426.6666
97.07801; 25.75; 420.0
97.25801; 25.75; 420.0
97.438; 25.75; 420.0
97.617; 25.75; 426.6666
97.797; 0.0; 420.0
97.975; 25.75; 426.6666
98.154; 25.75; 420.0
98.334; 25.75; 420.0
98.512; 25.75; 420.0
98.69201; 0.0; 426.6666
98.872; 25.75; 420.0
99.05101; 25.75; 420.0
99.231; 0.0; 426.6666
99.41501; 25.75; 420.0
99.594; 25.75; 420.0
99.77201; 25.75; 420.0
99.951; 0.0; 426.6666
100.13; 25.75; 420.0
100.308; 25.75; 426.6666
100.493; 0.0; 426.6666
100.672; 25.75; 420.0
100.851; 25.75; 420.0
101.03; 25.75; 420.0
101.208; 25.75; 426.6666
101.387; 0.0; 420.0
101.565; 25.75; 426.6666
101.744; 25.75; 420.0
101.923; 25.75; 420.0
102.102; 25.75; 420.0
102.281; 25.75; 426.6666
102.46; 25.75; 420.0
102.638; 25.75; 426.6666
102.817; 0.0; 426.6666
102.996; 25.75; 420.0
103.175; 25.75; 420.0
103.354; 25.75; 426.6666
103.538; 25.75; 426.6666
103.717; 25.75; 420.0
103.896; 25.75; 426.6666
104.075; 25.75; 420.0
104.254; 25.75; 420.0
104.433; 25.75; 420.0
104.612; 25.75; 426.6666
104.791; 25.75; 420.0
104.97; 25.75; 426.6666
105.149; 25.75; 426.6666
105.328; 25.75; 420.0
105.507; 25.75; 420.0
105.686; 25.75; 426.6666
105.865; 25.75; 426.6666
106.047; 25.75; 420.0
106.226; 25.75; 420.0
106.405; 25.75; 420.0
106.584; 25.75; 420.0
106.763; 25.75; 420.0
106.942; 25.75; 426.6666
107.121; 25.75; 420.0
107.3; 25.75; 420.0
107.483; 25.75; 420.0
107.662; 0.0; 420.0
107.84; 0.0; 420.0
108.018; 0.0; 426.6666
108.197; 25.75; 426.6666
108.376; 25.75; 420.0
108.555; 25.75; 420.0
108.734; 25.75; 420.0
108.913; 25.75; 420.0
109.092; 25.75; 420.0
109.271; 25.75; 426.6666
109.45; 25.75; 420.0
109.628; 25.75; 420.0
109.807; 0.0; 420.0
109.985; 25.75; 420.0
110.164; 25.75; 420.0
110.343; 25.75; 426.6666
110.522; 25.75; 420.0
110.701; 25.75; 420.0
110.88; 25.75; 420.0
111.058; 25.75; 420.0
111.237; 0.0; 420.0
111.415; 25.75; 426.6666
111.602; 25.75; 426.6666
111.781; 25.75; 420.0
111.96; 25.75; 420.0
112.138; 25.75; 420.0
112.317; 0.0; 420.0
112.495; 25.75; 413.3333
112.674; 25.75; 420.0
112.853; 25.75; 420.0
113.032; 25.75; 420.0
113.211; 25.75; 420.0
113.39; 25.75; 420.0
113.568; 25.75; 413.3333
113.747; 0.0; 400.0
113.925; 25.75; 373.3333
